Aria
72331
1258777
405964
407250
437961
391206
199561
437730
334705
366612
334117
2266800
420666
420259
355187
391448
1617714
411733
378733
344666
366612
406464
367129
422111
405178
380200
367322
393413
344727
316527
379000
379933
380433
391862
421407
316638
366129
325485
392793
355531
406642
1618714
475416
391931
392103
378433
392413
345060
436500
291153
378966
420555
379266
455040
437346
1619285
378733
420962
1618428
379133
379400
367774
334735
420481
438730
344454
391655
405392
324742
344939
344878
1415500
324428
344878
354750
344939
344121
307054
345212
392206
214207
334058
325142
315611
354812
335588
343969
407250
334647
325228
334058
316861
366677
334470
344363
355218
308027
298736
325200
307567
355406
1618857
405678
324485
334911
345848
356281
355468
1415625
1134300
421481
1417875
299368
242510
344484
355531
315527
355906
1260111
284675
324742
324942
455760
334647
334352
355875
291128
317750
369096
291307
335411
437538
335352
232673
355125
307756
366516
517545
325314
334823
344454
306918
335205
366548
391517
334500
367387
366806
316777
324428
306621
206654
366129
379366
334147
355375
315583
345060
237791
316027
366193
473791
241914
259454
354562
298815
334470
392827
368000
324457
332729
215094
307000
335029
336147
241787
317138
366709
335647
354875
345000
253577
345000
278365
356562
247021
306945
271404
325371
366580
356093
344878
298789
333705
334617
421740
421851
333882
345666
345545
306702
355468
334764
334823
324571
367387
306945
1423750
345939
437961
436884
378300
346242
379466
355437
422037
436807
354812
1258111
367290
366000
421185
392068
421444
423037
367612
405714
455080
379400
406178
406642
379400
543000
366516
393793
420481
437923
355343
379333
379866
436961
1261555
391793
437192
406428
368000
355781
420703
366741
355906
407250
420407
334500
324285
379266
202803
355593
367290
367709
355437
420777
366129
379800
356156
421444
405714
455880
1029272
292512
345424
361500
277682
345424
1132700
315888
325514
871615
315833
379500
356031
405642
380400
307729
421333
172500
185885
373121
379766
344121
308675
334411
324828
308027
291128
367483
325542
379133
